year,series,value
2015,all_traffic_deaths_index,100.0
2016,all_traffic_deaths_index,92.68574732581672
2017,all_traffic_deaths_index,91.93408499566348
2018,all_traffic_deaths_index,94.68054350968488
2019,all_traffic_deaths_index,88.06013298641226
2020,all_traffic_deaths_index,78.60653368025442
2021,all_traffic_deaths_index,74.0676496097138
2022,all_traffic_deaths_index,80.60132986412259
2023,all_traffic_deaths_index,82.07574443480775
2024,all_traffic_deaths_index,80.08094825093957
2025,all_traffic_deaths_index,81.3529921942758
2015,cyclist_deaths_index,100.0
2016,cyclist_deaths_index,102.61096605744125
2017,cyclist_deaths_index,99.73890339425587
2018,cyclist_deaths_index,116.18798955613576
2019,cyclist_deaths_index,116.18798955613576
2020,cyclist_deaths_index,111.22715404699738
2021,cyclist_deaths_index,97.12793733681463
2022,cyclist_deaths_index,123.7597911227154
2023,cyclist_deaths_index,116.4490861618799
2024,cyclist_deaths_index,116.18798955613576
2025,cyclist_deaths_index,120.62663185378591
