"Jahr";"Getötete";"Information"
1953;12,631;
1954;13,374;
1955;14,041;
1956;14,811;
1957;14,878;"Höchstgeschwindigkeit 50 km/h innerorts"
1958;13,891;
1959;15,654;
1960;16,477;
1961;16,805;
1962;16,216;
1963;16,282;
1964;18,194;
1965;17,483;
1966;18,596;
1967;18,926;
1968;18,589;
1969;18,693;
1970;21,332;
1971;20,794;
1972;20,895;"Höchstgeschwindigkeit 100 km/h auf Landstraßen"
1973;18,424;"0,8 Promille-Grenze, Ölkrise"
1974;16,665;"Richtgeschwindigkeit 130 km/h auf Autobahnen"
1975;17,011;
1976;17,144;
1977;17,397;
1978;17,303;
1979;15,558;
1980;15,050;"Helmtragepflicht (Verwarngeld)"
1981;13,635;
1982;13,450;
1983;13,553;
1984;12,041;"Gurtanlagepflicht (Verwarngeld)"
1985;10,070;
1986;10,620;
1987;9,498;
1988;9,862;
1989;9,779;
1990;11,046;
1991;11,300;
1992;10,631;
1993;9,949;
1994;9,814;
1995;9,454;
1996;8,758;
1997;8,549;
1998;7,792;"0,5 Promille-Grenze"
1999;7,772;
2000;7,503;
2001;6,977;
2002;6,842;
2003;6,613;
2004;5,842;
2005;5,361;
2006;5,091;
2007;4,949;
2008;4,477;
2009;4,152;
2010;3,648;
2011;4,009;
2012;3,600;
2013;3,339;
2014;3,377;
2015;3,459;
2016;3,206;
2017;3,180;
2018;3,275;
2019;3,046;
2020;2,719;"Beginn der Corona-Pandemie"
2021;2,562;
2022;2,788;
2023;2,839;
2024;2,770;
2025;2,814;"geschätzter Wert"
